NeoReferenceID,Name,AbsoluteMagnitude,EstDiainMiles(min),EstDiainMiles(max),CloseApproachDate,EpochDateCloseApproach,RelativeVelocitykmperhr,Milesperhour,MissDist.(miles),OrbitID,OrbitDeterminationDate,OrbitUncertainity,MinimumOrbitIntersection,JupiterTisserandInvariant,EpochOsculation,Eccentricity,SemiMajorAxis,Inclination,AscNodeLongitude,OrbitalPeriod,PerihelionDistance,PerihelionArg,AphelionDist,PerihelionTime,MeanAnomaly,MeanMotion,Hazardous
3702321,3702321,22.7,0.0476328,0.10651,1995-02-15,792835200000,28510.3,17715.2,9971470.0,13,2017-04-06 08:36:50,4,0.0525422,6.519,2458000.0,0.151416,0.91373,5.86041,177.857,319.026,0.775377,90.6413,1.05208,2458140.0,203.987,1.12844,0
3719196,3719196,26.1,0.0099519,0.0222531,1995-02-15,792835200000,16759.7,10413.8,23749100.0,8,2017-04-06 08:33:47,5,0.018587,6.36,2458000.0,0.171433,0.939139,11.9478,229.066,332.425,0.77814,227.55,1.10014,2458040.0,314.509,1.08295,0
3447920,3447920,20.6,0.125287,0.28015,1995-02-15,792835200000,7791.74,4841.49,39306400.0,42,2017-04-06 09:01:18,2,0.183818,3.753,2458000.0,0.40747,1.97847,4.0617,142.26,1016.47,1.1723,38.6604,2.78464,2457960.0,15.1106,0.354168,0
3005973,3005973,21.7,0.0754929,0.168807,1995-02-22,793440000000,102308.0,63570.4,4512200.0,29,2017-04-06 09:18:11,1,0.0128745,6.152,2453550.0,0.868419,0.906734,4.03507,342.784,315.368,0.119309,322.391,1.69416,2453600.0,303.979,1.14152,1
3660308,3660308,23.9,0.0274098,0.0612902,1995-02-22,793440000000,37985.5,23602.7,1834780.0,32,2017-07-27 17:06:05,3,0.0109543,4.767,2458000.0,0.39882,1.35792,3.85434,341.219,577.975,0.816354,237.173,1.89948,2457910.0,54.3149,0.622864,0
3348144,3348144,23.9,0.0274098,0.0612902,1995-02-22,793440000000,63233.7,39290.9,40347400.0,10,2017-04-06 09:07:56,1,0.0453154,6.298,2458000.0,0.397381,0.940326,11.6077,195.37,333.055,0.566658,315.242,1.31399,2458100.0,255.188,1.0809,0
3646046,3646046,21.3,0.0907624,0.202951,1995-02-22,793440000000,69203.4,43000.3,9485970.0,13,2017-04-06 08:45:06,4,0.0140066,5.149,2458000.0,0.249425,1.18399,35.2402,149.157,470.568,0.888676,55.2165,1.47931,2457820.0,141.03,0.765033,1
3780693,3780693,26.989,0.00660855,0.0147772,1995-02-22,793440000000,25790.9,16025.5,19669200.0,2,2017-08-20 06:18:11,7,0.0071428,5.874,2458000.0,0.317906,1.03437,4.00831,322.715,384.247,0.705536,249.018,1.3632,2457900.0,92.637,0.936897,0
2162173,2162173,19.3,0.227985,0.50979,1995-03-08,794649600000,48874.7,30368.8,32603800.0,117,2017-04-06 09:26:35,0,0.00132059,5.308,2458000.0,0.190284,1.18956,5.8839,251.591,473.891,0.963206,211.447,1.41592,2457800.0,154.022,0.759669,1
3092312,3092312,22.6,0.0498776,0.11153,1995-03-08,794649600000,41293.1,25657.9,4812360.0,14,2017-04-20 12:22:05,0,0.0341962,5.089,2458000.0,0.428253,1.23494,5.85041,151.289,501.263,0.706072,292.618,1.7638,2457750.0,178.693,0.718185,0
3273782,3273782,23.8,0.0287016,0.0641787,1995-03-08,794649600000,42950.3,26687.7,9067290.0,34,2017-03-09 06:17:26,0,0.052677,7.48,2455880.0,0.386459,0.762974,20.8338,352.922,243.424,0.468116,351.179,1.05783,2455990.0,203.652,1.4789,0
3600106,3600106,28.6,0.00314707,0.00703706,1995-03-08,794649600000,35546.9,22087.5,13636600.0,8,2017-04-06 08:50:42,6,0.00220111,5.349,2458000.0,0.22996,1.17619,1.99055,336.874,465.923,0.905713,120.062,1.44666,2457800.0,157.61,0.77266,0
3684008,3684008,21.2,0.0950399,0.212516,1995-03-08,794649600000,57379.3,35653.3,16072300.0,6,2017-04-06 08:39:07,6,0.0667857,4.469,2458000.0,0.437399,1.44241,24.5684,151.732,632.752,0.811504,97.0778,2.07333,2458080.0,317.562,0.568943,0
3751815,3751815,22.8,0.045489,0.101716,1995-03-08,794649600000,42265.5,26262.1,30971300.0,7,2017-04-06 08:26:34,6,0.0452308,6.708,2458000.0,0.513907,0.865355,6.81269,64.1263,294.029,0.420644,292.883,1.31007,2457890.0,140.198,1.22437,0
2483656,2483656,23.8,0.0287016,0.0641787,1995-03-08,794649600000,42950.2,26687.6,9067260.0,41,2017-07-20 13:13:56,0,0.0515902,7.48,2456130.0,0.386445,0.762954,20.8334,352.921,243.414,0.468114,351.178,1.05779,2456230.0,203.033,1.47896,0
3182169,3182169,23.6,0.0314707,0.0703706,1995-03-15,795254400000,13816.9,8585.26,8039260.0,21,2017-04-06 09:12:49,0,0.0231683,5.694,2458000.0,0.175528,1.08505,1.49971,143.972,412.834,0.894596,2.12465,1.27551,2458020.0,343.278,0.872021,0
2267221,2267221,19.8,0.181095,0.40494,1995-03-22,795859200000,52742.2,32771.9,45869100.0,80,2017-08-05 06:18:39,0,0.00864628,5.679,2458000.0,0.65967,1.03907,1.66028,211.166,386.87,0.353626,111.27,1.72451,2458020.0,339.071,0.930544,1
2382875,2382875,21.7,0.0754929,0.168807,1995-03-22,795859200000,27053.6,16810.0,46401700.0,39,2017-04-06 09:22:12,0,0.072723,4.988,2458000.0,0.180695,1.29871,2.88385,42.7746,540.59,1.06404,283.679,1.53338,2458120.0,282.448,0.665939,0
2396793,2396793,20.1,0.157727,0.352688,1995-03-22,795859200000,51778.2,32172.9,39131300.0,27,2017-04-06 09:21:55,0,0.286119,5.55,2458000.0,0.608529,1.06773,19.7661,228.348,402.986,0.417985,179.906,1.71747,2458180.0,203.254,0.893331,0
2419472,2419472,19.9,0.172944,0.386715,1995-03-22,795859200000,59537.7,36994.4,34622500.0,48,2017-09-18 06:55:42,0,0.00632801,5.118,2458000.0,0.200159,1.22505,23.7667,157.141,495.258,0.979849,9.61803,1.47026,2458230.0,196.524,0.726894,1
3647009,3647009,27.4,0.00546898,0.012229,1995-03-22,795859200000,26420.9,16416.9,6605890.0,7,2017-04-06 08:44:59,7,0.00184403,5.435,2458000.0,0.221635,1.14962,7.43079,330.783,450.227,0.894825,290.484,1.40442,2457820.0,144.197,0.799597,0
3713321,3713321,23.9,0.0274098,0.0612902,1995-03-22,795859200000,38158.5,23710.2,36579500.0,11,2017-04-06 08:35:03,5,0.110326,4.698,2458000.0,0.225485,1.40833,8.11396,158.226,610.454,1.09077,28.4122,1.72588,2457720.0,164.562,0.589725,0
3747315,3747315,26.9,0.00688503,0.0153954,1995-03-22,795859200000,82168.7,51056.4,43964800.0,5,2017-04-06 08:27:26,7,0.00602602,6.938,2458000.0,0.299733,0.841632,10.2769,171.177,282.021,0.589367,218.22,1.0939,2457930.0,87.34,1.2765,0
3771614,3771614,21.424,0.0857247,0.191686,1995-03-22,795859200000,73347.2,45575.1,20857500.0,9,2017-06-15 06:20:02,6,0.0890355,4.955,2458000.0,0.147885,1.23591,39.407,356.544,501.857,1.05314,218.602,1.41868,2457870.0,90.3386,0.717336,0
2312942,2312942,17.3,0.572672,1.28053,1995-04-08,797324400000,82657.3,51360.0,8062330.0,69,2017-04-06 09:23:51,0,0.0591071,3.12,2458000.0,0.776644,2.2632,9.06451,352.691,1243.6,0.505499,299.739,4.02089,2458580.0,191.454,0.289481,0
3170221,3170221,26.5,0.00827763,0.0185093,1995-04-08,797324400000,27059.3,16813.6,21942300.0,17,2017-04-06 09:13:21,1,0.00576149,6.132,2458000.0,0.0139485,0.988668,4.32091,264.406,359.066,0.974877,87.8164,1.00246,2457940.0,58.244,1.0026,0
3601408,3601408,18.8,0.287016,0.641787,1995-04-08,797324400000,77525.0,48171.0,43454600.0,36,2017-04-06 08:50:28,1,0.264451,3.214,2458000.0,0.4446,2.25057,40.0749,190.802,1233.21,1.24997,16.1745,3.25118,2458490.0,217.612,0.29192,0
3772759,3772759,28.15,0.00387174,0.00865747,1995-04-08,797324400000,48932.0,30404.5,30011600.0,14,2017-05-08 14:22:55,4,4.42295e-05,5.916,2458000.0,0.145894,1.03321,3.17432,10.4441,383.603,0.882471,85.7315,1.18395,2458140.0,224.38,0.938471,0
3409964,3409964,20.8,0.114263,0.2555,1995-04-15,797929200000,29476.4,18315.5,35566400.0,32,2017-04-06 09:03:32,2,0.0497576,5.797,2458000.0,0.296206,1.05208,7.90647,128.841,394.159,0.740447,242.293,1.36371,2457880.0,109.066,0.913338,1
3562320,3562320,25.6,0.0125287,0.028015,1995-04-15,797929200000,50728.3,31520.6,25002400.0,10,2017-04-06 08:53:48,7,0.024568,6.797,2458000.0,0.19861,0.863323,15.2906,18.6395,292.994,0.691858,344.801,1.03479,2458130.0,197.265,1.22869,0
3747992,3747992,25.4,0.0137374,0.0307179,1995-04-15,797929200000,40318.2,25052.2,21646500.0,17,2017-04-21 06:20:19,5,0.0053862,6.79,2458000.0,0.177455,0.869336,1.8678,150.005,296.06,0.715069,204.979,1.0236,2457910.0,114.041,1.21597,0
3373683,3373683,19.4,0.217724,0.486845,1995-04-22,798534000000,33497.5,20814.1,3368880.0,44,2017-05-03 06:18:20,1,0.0215286,5.768,2457800.0,0.129044,1.0612,15.0897,215.444,399.294,0.924256,61.173,1.19814,2457870.0,301.482,0.901592,1
3719206,3719206,21.0,0.104209,0.233019,1995-04-22,798534000000,93794.0,58279.9,37242100.0,9,2017-08-10 06:19:11,1,0.175606,4.38,2458000.0,0.545844,1.48715,10.425,114.729,662.417,0.675399,354.169,2.29891,2457740.0,144.332,0.543464,0
3394543,3394543,20.9,0.10912,0.244001,1995-04-22,798534000000,69367.0,43102.0,40829600.0,34,2017-09-26 06:50:10,0,0.0337336,5.148,2458000.0,0.523263,1.18215,23.2772,65.7721,469.469,0.563574,110.155,1.80072,2457790.0,164.489,0.766824,1
2489486,2489486,19.4,0.217724,0.486845,1995-04-22,798534000000,33497.5,20814.1,3368880.0,45,2017-05-15 19:03:44,1,0.020437,5.768,2458000.0,0.129015,1.06119,15.09,215.443,399.29,0.924281,61.1891,1.1981,2457870.0,121.791,0.9016,1
2356991,2356991,18.9,0.274098,0.612902,1995-05-08,799916400000,51633.1,32082.8,21093800.0,52,2017-04-06 09:22:57,0,0.00433054,3.539,2458000.0,0.532485,2.10402,8.16852,299.022,1114.74,0.983661,332.952,3.22438,2457680.0,104.133,0.322946,1
3648769,3648769,24.0,0.0261762,0.0585317,1995-05-08,799916400000,39036.7,24255.9,28622500.0,12,2017-04-06 08:44:24,3,0.0666464,6.379,2458000.0,0.247375,0.935217,7.02845,204.199,330.344,0.703868,23.6525,1.16657,2458100.0,247.604,1.08977,0
3773650,3773650,21.494,0.0830053,0.185606,1995-05-08,799916400000,56443.3,35071.7,18105400.0,9,2017-05-13 06:43:11,5,0.0739088,6.696,2458000.0,0.383885,0.874062,10.8684,100.303,298.478,0.538523,257.169,1.2096,2457970.0,38.2553,1.20612,0
2088959,2088959,17.4,0.546898,1.2229,1995-05-15,800521200000,132850.0,82547.8,28731000.0,42,2017-04-06 09:28:21,0,0.0508661,3.58,2458000.0,0.563978,1.72359,53.8283,38.9873,826.513,0.751523,114.97,2.69566,2458080.0,325.397,0.435565,0
3277704,3277704,22.1,0.0627922,0.140408,1995-05-15,800521200000,56869.5,35336.5,17053700.0,18,2017-04-06 09:11:00,0,0.0549144,5.293,2458000.0,0.153837,1.15782,31.0425,49.32,455.049,0.979702,246.833,1.33593,2458120.0,267.23,0.791123,0
3459306,3459306,21.6,0.0790507,0.176763,1995-05-15,800521200000,73042.0,45385.5,18915200.0,30,2017-04-06 09:00:38,0,0.0812573,5.01,2458000.0,0.47651,1.25347,5.80093,191.259,512.588,0.656178,147.938,1.85076,2458110.0,281.368,0.702318,0
3562321,3562321,20.5,0.131192,0.293353,1995-05-15,800521200000,71477.5,44413.3,13914400.0,24,2017-05-20 09:47:28,1,0.117551,6.468,2458000.0,0.526543,0.896339,20.1302,38.7816,309.961,0.424378,334.981,1.3683,2457980.0,27.8674,1.16144,0
3701883,3701883,21.0,0.104209,0.233019,1995-05-15,800521200000,88985.7,55292.3,31844400.0,18,2017-04-06 08:36:55,2,0.00215466,4.092,2458000.0,0.533246,1.6537,7.50227,74.4912,776.752,0.771869,250.742,2.53552,2457670.0,153.226,0.463469,1
3728898,3728898,22.2,0.0599661,0.134088,1995-05-15,800521200000,41027.8,25493.1,21736700.0,26,2017-04-06 08:31:39,1,0.0499383,5.512,2458000.0,0.49887,1.10033,10.7877,16.9804,421.581,0.551407,125.979,1.64925,2457810.0,165.12,0.853928,0
3484042,3484042,20.6,0.125287,0.28015,1995-05-22,801126000000,55639.5,34572.2,10194800.0,8,2017-04-06 08:58:42,7,0.0947896,4.044,2458000.0,0.49085,1.66165,22.1302,72.2176,782.362,0.84603,100.315,2.47727,2457630.0,170.803,0.460145,0
3330689,3330689,24.4,0.0217724,0.0486845,1995-05-22,801126000000,52866.6,32849.3,35979100.0,16,2017-06-21 06:17:20,0,0.021176,5.17,2458000.0,0.189683,1.23361,5.56507,215.903,500.454,0.999614,323.56,1.4676,2457830.0,121.679,0.719347,0
3605319,3605319,18.8,0.287016,0.641787,1995-05-22,801126000000,70330.2,43700.5,32248200.0,29,2017-04-06 08:49:40,2,0.0613713,3.232,2458000.0,0.591283,2.26959,28.1773,95.203,1248.87,0.92762,158.522,3.61156,2458590.0,189.531,0.28826,0
3694462,3694462,25.8,0.0114263,0.02555,1995-05-22,801126000000,17366.0,10790.6,37348400.0,13,2017-04-06 08:37:55,6,0.00120536,4.769,2458000.0,0.350066,1.36594,0.654497,214.13,583.101,0.887768,119.647,1.8441,2458080.0,313.264,0.617388,0
3127399,3127399,24.3,0.0227985,0.050979,1995-06-08,802594800000,41429.7,25742.8,2403920.0,12,2017-04-06 09:15:05,7,0.0222117,5.054,2458000.0,0.202625,1.25366,20.0037,256.445,512.703,0.999633,38.5666,1.50768,2458110.0,285.673,0.702161,0
3397922,3397922,19.6,0.198566,0.444008,1995-06-08,802594800000,65997.8,41008.5,33009900.0,45,2017-01-29 06:20:30,0,0.0142281,5.208,2457800.0,0.234803,1.18706,27.4282,91.3017,472.396,0.908332,58.2931,1.46578,2457810.0,349.2,0.762073,1
3672731,3672731,26.2,0.00950399,0.0212516,1995-06-08,802594800000,28534.9,17730.5,15133200.0,12,2017-04-06 08:40:19,6,0.00634687,5.537,2458000.0,0.119757,1.1266,6.50733,242.583,436.771,0.991684,318.516,1.26152,2458070.0,301.159,0.82423,0
3463371,3463371,20.8,0.114263,0.2555,1995-06-08,802594800000,70802.2,43993.7,34070700.0,19,2017-04-06 09:00:25,1,0.113249,6.447,2458000.0,0.299154,0.912717,21.0333,87.5739,318.495,0.639674,23.6169,1.18576,2458070.0,278.384,1.13032,0
2484402,2484402,19.6,0.198566,0.444008,1995-06-08,802594800000,65997.8,41008.4,33009800.0,72,2017-06-28 06:19:14,0,0.014981,5.208,2458000.0,0.234771,1.18708,27.4293,91.2962,472.407,0.908385,58.3031,1.46577,2457810.0,141.614,0.762055,1
3776112,3776112,20.616,0.124367,0.278094,1995-06-08,802594800000,62932.9,39104.0,30088700.0,5,2017-08-14 06:21:35,5,0.317486,5.612,2458000.0,0.405479,1.06261,29.9796,280.318,400.093,0.631746,202.132,1.49348,2458180.0,194.941,0.89979,0
2154244,2154244,17.5,0.522283,1.16786,1995-06-15,803199600000,58051.8,36071.1,27976600.0,253,2017-04-06 09:27:00,0,0.0636542,3.367,2458000.0,0.548402,2.30672,3.24614,213.286,1279.65,1.04171,98.0396,3.57173,2457600.0,112.313,0.281327,0
3363380,3363380,22.0,0.0657515,0.147025,1995-06-15,803199600000,48510.8,30142.8,6099750.0,17,2017-04-06 09:07:25,7,0.0589302,5.364,2458000.0,0.309772,1.15023,20.0186,268.096,450.584,0.793921,70.136,1.50654,2458050.0,318.666,0.798962,0
3673983,3673983,23.0,0.0414864,0.0927665,1995-06-15,803199600000,15594.2,9689.62,8763400.0,11,2017-04-06 08:39:56,5,0.0949569,4.633,2458000.0,0.231821,1.43839,7.09666,253.43,630.104,1.10494,18.9284,1.77184,2458090.0,309.889,0.571334,0
3673919,3673919,21.5,0.0827763,0.185093,1995-06-15,803199600000,60977.9,37889.3,28668700.0,50,2017-04-06 08:40:00,4,0.0738937,3.5,2458000.0,0.526147,2.16198,4.44091,237.857,1161.12,1.02446,78.2419,3.2995,2458040.0,348.364,0.310047,0
2308242,2308242,16.5,0.827763,1.85093,1995-06-22,803804400000,47212.4,29335.9,4284950.0,75,2017-04-06 09:23:57,0,0.0436453,7.557,2458000.0,0.33998,0.753184,24.9273,272.693,238.754,0.497117,156.624,1.00925,2458100.0,204.127,1.50783,1
2366746,2366746,20.2,0.150628,0.336815,1995-06-22,803804400000,39836.1,24752.6,45473100.0,38,2017-04-06 09:22:37,0,0.0270542,5.556,2458000.0,0.461492,1.08714,18.2835,246.751,414.026,0.585435,256.042,1.58885,2458060.0,310.178,0.86951,1
3545558,3545558,27.1,0.00627922,0.0140408,1995-06-22,803804400000,45187.8,28078.0,11321100.0,14,2017-04-06 08:56:50,1,0.00108035,6.997,2458000.0,0.388447,0.830728,5.05966,166.154,276.558,0.508034,319.796,1.15342,2458020.0,338.779,1.30171,0
3608823,3608823,27.2,0.00599661,0.0134088,1995-06-22,803804400000,45095.5,28020.6,34716400.0,7,2017-04-06 08:48:55,7,0.00396247,6.385,2458000.0,0.360124,0.929745,0.495222,323.493,327.45,0.594922,264.266,1.26457,2458070.0,281.356,1.09941,0
3775092,3775092,21.571,0.0801135,0.179139,1995-06-22,803804400000,46207.2,28711.3,29459400.0,4,2017-09-16 06:18:39,5,0.119136,4.491,2458000.0,0.294843,1.49855,6.8013,56.1667,670.046,1.05671,259.307,1.94039,2457960.0,19.0391,0.537277,0
2090416,2090416,18.7,0.300543,0.672034,1995-07-08,805186800000,87708.4,54498.6,42181700.0,121,2017-04-06 09:28:18,0,0.00197078,4.054,2458000.0,0.492127,1.69498,7.83912,326.902,806.018,0.860834,233.056,2.52912,2457920.0,36.1101,0.44664,1
2216523,2216523,20.6,0.125287,0.28015,1995-07-08,805186800000,32231.4,20027.3,12856300.0,67,2017-04-06 09:25:20,0,0.0355235,6.454,2456350.0,0.412095,0.913852,5.2085,205.243,319.089,0.537258,211.13,1.29045,2456370.0,330.298,1.12821,1
2309728,2309728,18.1,0.396192,0.885913,1995-07-08,805186800000,56140.7,34883.6,35989900.0,45,2017-04-06 09:23:55,0,0.243876,3.776,2458000.0,0.392904,1.90718,19.8015,90.6715,962.023,1.15784,235.821,2.65652,2457630.0,138.604,0.374212,0
2458418,2458418,19.5,0.207925,0.464934,1995-07-08,805186800000,113788.0,70703.3,38383000.0,26,2017-04-06 09:19:48,0,0.00803028,3.594,2458000.0,0.537495,1.85446,38.5009,124.794,922.413,0.857698,237.716,2.85123,2458240.0,264.94,0.390281,1
3007951,3007951,18.7,0.300543,0.672034,1995-07-08,805186800000,115853.0,71986.6,22134400.0,34,2017-06-21 06:17:20,0,0.22291,5.289,2458000.0,0.790757,1.06451,43.5612,276.454,401.164,0.222741,160.105,1.90627,2457980.0,18.8121,0.897389,0
2495829,2495829,18.7,0.300543,0.672034,1995-07-08,805186800000,115853.0,71986.6,22134400.0,37,2017-09-13 06:20:17,0,0.22291,5.289,2458000.0,0.790757,1.06451,43.5612,276.454,401.164,0.222741,160.105,1.90627,2457980.0,18.8121,0.897389,0
3414393,3414393,20.1,0.157727,0.352688,1995-07-15,805791600000,66663.1,41421.9,29849100.0,28,2016-07-19 06:15:41,0,0.14088,4.574,2457600.0,0.247697,1.37645,37.2241,106.13,589.847,1.03551,244.063,1.71739,2457660.0,324.391,0.610327,0
3440397,3440397,20.1,0.157727,0.352688,1995-07-15,805791600000,112063.0,69631.5,44597300.0,26,2017-04-06 09:02:02,1,0.00799405,3.918,2458000.0,0.607313,1.73387,0.920945,317.393,833.917,0.680868,228.728,2.78687,2458220.0,265.887,0.431698,1
2470594,2470594,20.2,0.150628,0.336815,1995-07-15,805791600000,66663.1,41421.8,29849200.0,32,2017-04-06 09:19:14,0,0.141147,4.574,2458000.0,0.247647,1.3765,37.2228,106.125,589.88,1.03561,244.061,1.71739,2458250.0,208.527,0.610294,0
3414402,3414402,19.7,0.18963,0.424025,1995-07-15,805791600000,94852.3,58937.5,34571200.0,38,2017-04-06 09:03:15,1,0.200346,3.568,2458000.0,0.436416,1.89556,40.7559,296.318,953.247,1.06831,56.5605,2.72282,2457580.0,158.076,0.377657,0
2212359,2212359,16.7,0.754929,1.68807,1995-07-22,806396400000,73050.5,45390.7,37823600.0,94,2017-04-06 09:25:25,0,0.256265,3.427,2458000.0,0.707411,2.01645,15.9513,168.53,1045.87,0.58999,167.101,3.44291,2458300.0,255.405,0.34421,0
2348314,2348314,17.9,0.434416,0.971384,1995-07-22,806396400000,55232.0,34319.0,41207200.0,60,2017-04-06 09:23:10,0,0.0451383,5.169,2458000.0,0.278079,1.18957,30.1225,292.476,473.896,0.858776,84.2047,1.52036,2458070.0,308.88,0.75966,1
3560054,3560054,23.7,0.0300543,0.0672034,1995-07-22,806396400000,35390.7,21990.4,30368700.0,7,2017-04-06 08:54:04,6,0.0752783,6.424,2458000.0,0.222717,0.925365,13.0828,359.715,325.138,0.71927,330.565,1.13146,2458030.0,325.611,1.10722,0
3666783,3666783,20.3,0.143849,0.321655,1995-07-22,806396400000,55490.7,34479.7,44763300.0,13,2017-04-06 08:41:49,2,0.0449381,7.609,2458000.0,0.271073,0.752153,19.1976,358.659,238.264,0.548264,347.462,0.956042,2458040.0,296.456,1.51093,1
2307070,2307070,20.7,0.119648,0.267541,1995-08-08,807865200000,52917.5,32880.9,27697100.0,75,2017-04-06 09:23:59,0,0.143015,4.911,2458000.0,0.249441,1.31003,14.9755,119.311,547.675,0.983258,267.379,1.63681,2458220.0,217.174,0.657325,0
